"PerNo","PerStatus","年資層級A","年齡層級","年資層級B","升遷速度","眷屬量","婚姻狀況","工作資歷5","近一年請假數B","近三月請假數B","sex","近一年請假數A","特殊專案佔比","訓練時數C","任職前工作平均年數","工作分類"
96,0,2,5,2,2,2,2,0,0,0,1,6,1,1,1,1
96,0,2,5,2,3,2,2,0,0,0,1,6,0,2,1,1
98,0,1,4,1,1,0,2,0,1,0,1,7,1,4,1,1
100,0,4,11,1,2,1,1,0,0,0,1,6,1,1,2,2
100,0,4,11,1,2,1,1,0,0,0,1,7,0,1,2,2
100,0,4,11,2,2,1,1,0,0,0,1,9,0,1,2,2
102,0,2,6,2,3,1,1,1,0,0,1,9,13,1,0,1
102,0,2,6,2,1,1,1,1,0,0,1,9,8,0,0,1
102,0,2,6,2,1,2,1,1,0,0,1,10,12,1,0,1
102,0,2,7,2,1,2,1,1,0,0,1,7,7,1,0,1
105,1,2,5,2,1,1,2,1,0,0,1,7,0,1,0,1
107,0,4,7,3,4,1,1,0,0,0,1,7,1,1,1,1
107,0,4,8,3,1,1,1,0,0,0,1,7,2,2,1,1
111,0,7,12,7,1,0,2,0,0,0,1,6,0,2,0,2
111,0,7,13,7,1,0,2,0,0,0,1,6,0,7,0,2
112,0,5,10,5,2,2,1,0,0,0,1,6,2,10,1,1
112,0,5,10,5,2,2,1,0,0,0,1,6,1,1,1,1
112,0,6,11,5,2,2,1,0,0,0,1,6,1,1,1,1
112,0,6,11,6,2,2,1,0,0,0,1,7,1,1,1,1
116,1,1,4,1,1,0,2,0,0,0,1,5,1,7,1,1
118,0,4,9,2,2,2,1,0,0,0,0,8,0,1,2,2
118,0,4,9,2,1,0,1,0,0,0,0,6,0,1,2,2
118,0,4,10,2,1,0,1,0,0,0,0,8,0,1,2,2
118,0,4,10,2,1,1,1,0,0,0,0,10,0,1,2,2
120,0,4,7,1,1,1,1,0,0,0,1,7,3,1,2,1
120,0,4,8,1,1,1,1,0,0,0,1,6,3,1,2,1
121,0,2,5,1,1,0,1,0,0,0,0,7,3,2,1,1
121,0,3,6,1,2,1,1,0,0,0,0,10,4,1,1,1
121,0,3,6,2,2,1,1,0,4,4,0,9,4,1,1,1
121,0,3,6,2,2,1,1,0,0,0,0,11,3,1,1,1
123,0,2,4,2,2,0,1,0,0,0,1,5,0,3,0,1
123,0,2,5,2,3,0,1,0,0,0,1,6,0,2,0,1
123,1,2,5,2,3,1,1,0,0,0,1,6,1,1,0,1
125,1,1,2,1,1,0,2,1,0,0,1,6,0,1,0,1
126,0,7,12,7,7,2,1,0,0,0,1,7,1,0,0,1
126,0,7,12,7,8,1,1,0,0,0,1,8,1,1,0,1
126,0,7,12,7,8,1,1,0,0,0,1,8,5,0,0,1
126,0,7,13,7,8,1,1,0,0,0,1,7,5,1,0,1
133,0,1,3,1,1,0,2,0,0,0,0,8,0,1,1,1
135,0,4,7,4,1,2,1,0,0,0,1,7,2,2,1,1
135,0,4,8,4,2,2,1,0,0,0,1,4,6,1,1,1
138,0,4,9,3,2,3,1,0,0,0,1,7,2,1,1,1
138,0,5,9,3,1,3,1,0,0,0,1,8,1,1,1,1
138,0,5,9,3,1,2,1,0,0,0,1,8,1,1,1,1
138,0,5,10,3,1,2,1,0,0,0,1,8,1,2,1,1
140,0,4,7,4,2,1,1,0,0,0,0,7,0,1,1,2
140,0,5,7,4,1,1,1,0,0,0,0,7,0,1,1,2
140,0,5,8,5,1,1,1,0,0,0,0,9,0,3,1,2
140,0,5,8,5,1,1,1,0,0,0,0,8,0,2,1,2
142,1,1,4,1,1,0,1,1,0,0,1,6,1,7,0,1
143,0,1,5,1,1,1,2,1,0,0,1,5,0,2,0,1
143,0,1,5,1,2,1,2,1,0,0,1,6,0,4,0,1
143,0,2,5,2,2,1,2,1,0,0,1,6,2,2,0,1
143,0,2,6,2,1,1,2,1,0,0,1,7,1,11,0,1
144,0,4,7,4,2,0,1,1,0,0,1,7,0,0,0,1
144,0,4,7,4,1,0,1,1,0,0,1,6,0,1,0,1
144,1,4,8,4,1,0,1,1,0,0,1,6,1,1,0,1
145,0,3,5,1,1,0,2,0,0,0,0,8,0,1,2,1
145,0,3,5,1,1,0,2,0,0,0,0,6,0,8,2,1
145,0,3,5,1,1,0,2,0,0,0,0,8,0,2,2,1
146,0,4,7,4,2,1,1,0,0,0,0,6,2,1,0,1
146,0,4,7,4,2,1,1,0,0,0,0,7,0,1,0,1
146,0,4,7,4,3,1,1,0,0,0,0,6,0,1,0,1
146,0,4,8,4,3,1,1,0,0,0,0,6,0,1,0,1
150,0,4,9,3,2,0,1,0,0,0,1,8,1,3,1,1
150,0,5,10,3,2,0,1,0,0,0,1,10,0,4,1,1
152,0,1,5,1,2,2,1,1,0,0,1,8,0,4,1,1
152,0,2,5,2,2,2,1,1,0,0,1,3,1,2,1,1
152,1,2,6,2,2,2,1,1,0,0,1,6,7,6,1,1
153,0,2,4,1,2,1,2,0,0,0,0,9,0,1,1,2
153,0,2,5,2,2,1,2,0,0,0,0,10,0,0,1,2
153,0,2,5,2,2,1,2,0,0,0,0,9,0,0,1,2
153,0,3,5,2,3,1,2,0,0,0,0,9,0,1,1,2
155,0,1,4,1,2,0,2,1,0,0,1,6,0,1,0,1
155,0,1,4,1,2,0,2,1,0,0,1,7,0,1,0,1
156,1,1,6,1,2,1,1,0,0,0,1,6,0,2,1,1
157,0,6,10,5,2,1,1,0,0,0,1,6,1,6,1,2
157,0,6,11,6,2,1,1,0,0,0,1,6,0,2,1,2
157,0,6,11,6,2,1,1,0,0,0,1,6,0,4,1,2
157,0,6,11,6,3,1,1,0,0,0,1,6,15,1,1,2
158,0,2,6,1,1,1,1,0,0,0,1,5,0,1,1,1
158,0,3,6,2,1,2,1,0,0,0,1,6,0,1,1,1
158,0,3,6,2,1,2,1,0,0,0,1,5,0,3,1,1
158,0,3,7,2,1,2,1,0,0,0,1,6,0,2,1,1
159,0,4,10,3,2,0,2,0,0,0,1,8,0,1,1,2
160,0,1,2,1,1,0,2,1,0,0,1,5,0,1,0,1
160,0,1,3,1,1,0,2,1,0,0,1,6,0,2,0,1
160,0,1,3,1,2,1,2,1,0,0,1,6,0,2,0,1
162,0,2,4,1,1,0,2,0,0,0,0,6,1,1,1,1
162,0,2,4,1,1,0,2,0,0,0,0,6,1,3,1,1
162,0,2,5,1,2,0,2,0,0,0,0,7,0,1,1,1
162,0,2,5,2,1,0,2,0,0,0,0,7,1,1,1,1
163,0,2,7,2,3,2,1,1,0,0,1,6,1,1,0,1
163,0,3,7,3,4,2,1,1,0,0,1,5,1,1,0,1
163,0,3,7,3,4,2,1,1,0,0,1,6,1,1,0,1
163,0,3,8,3,1,3,1,1,0,0,1,6,0,0,0,1
165,0,2,5,2,2,0,2,0,0,0,0,9,1,3,0,1
165,0,2,6,2,2,0,2,0,0,0,0,8,0,4,0,1
165,0,2,6,2,2,0,2,0,0,0,0,9,2,3,0,1
165,0,2,6,2,1,0,2,0,0,0,0,9,1,1,0,1
167,0,3,6,2,2,2,1,0,0,0,1,6,0,3,0,1
167,0,3,6,2,1,2,1,0,0,0,1,6,1,1,0,1
167,1,3,7,3,1,2,1,0,0,0,1,6,1,1,0,1
169,0,4,8,3,5,1,1,0,0,0,1,6,2,1,1,1
169,0,4,9,4,5,1,1,0,0,0,1,6,0,1,1,1
169,0,5,9,4,5,1,1,0,0,0,1,6,1,1,1,1
169,0,5,9,4,6,1,1,0,0,0,1,8,0,1,1,1
170,0,1,5,1,1,0,2,0,0,0,1,5,0,3,1,1
170,0,1,5,1,2,0,1,0,0,0,1,7,0,2,1,1
170,0,2,6,2,2,1,1,0,0,0,1,6,0,2,1,1
170,0,2,6,2,2,1,1,0,0,0,1,6,0,1,1,1
171,0,2,4,2,1,1,1,1,0,0,1,6,0,4,0,1
171,0,2,5,2,1,1,1,1,0,0,1,6,1,4,0,1
171,0,2,5,2,1,2,1,1,0,0,1,6,4,9,0,1
171,0,2,5,2,2,2,1,1,0,0,1,5,5,1,0,1
173,0,3,7,3,1,1,1,0,0,0,1,6,1,5,1,1
173,0,3,8,3,1,1,1,0,0,0,1,6,1,2,1,1
173,1,3,8,3,2,1,1,0,0,0,1,6,1,6,1,1
176,1,1,2,1,1,0,2,1,0,0,1,7,0,2,0,1
177,0,1,3,1,1,0,1,0,0,0,1,7,1,1,1,1
177,0,1,3,1,2,1,1,0,0,0,1,5,1,1,1,1
177,0,2,4,1,2,0,1,0,0,0,1,6,1,1,1,1
177,0,2,4,2,2,2,1,0,0,0,1,6,1,2,1,1
178,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,1,2,6,2,3,0,1,1,0,0,1,10,2,1,0,1
183,0,6,11,3,2,1,1,0,0,0,0,9,0,1,2,1
183,0,6,12,3,2,1,1,0,0,0,0,5,1,2,2,1
183,0,6,12,4,2,1,1,0,0,0,0,4,3,1,2,1
183,1,6,12,4,3,1,1,0,0,0,0,4,0,1,2,1
186,0,3,6,3,2,2,1,1,0,0,1,6,1,1,0,1
186,0,3,7,3,2,2,1,1,0,0,1,6,0,1,0,1
186,0,3,7,3,2,2,1,1,0,0,1,6,1,1,0,1
186,0,4,7,4,2,2,1,1,0,0,1,4,1,1,0,1
190,1,2,3,2,1,0,1,1,0,0,1,3,0,2,0,1
194,0,7,11,7,5,2,1,0,0,0,1,6,4,0,1,1
194,0,7,12,7,6,2,1,0,0,0,1,6,1,1,1,1
194,0,7,12,7,6,1,1,0,0,0,1,6,1,2,1,1
194,0,7,12,7,6,1,1,0,0,0,1,8,1,0,1,1
195,0,6,10,6,7,3,1,0,0,0,1,9,0,0,0,1
195,0,6,10,6,7,3,1,0,0,0,1,8,0,1,0,1
195,0,6,11,6,7,3,1,0,0,0,1,5,0,0,0,1
195,0,6,11,6,8,2,1,0,0,0,1,2,0,1,0,1
197,0,1,3,1,1,0,2,0,0,0,0,6,0,3,1,1
199,0,3,6,1,1,1,1,0,0,0,1,6,0,2,1,1
199,0,3,6,1,2,1,1,0,0,0,1,4,0,4,1,1
199,0,3,6,1,2,1,1,0,0,0,1,5,0,3,1,1
199,1,3,7,2,1,1,1,0,0,0,1,7,1,4,1,1
203,0,3,8,3,4,2,1,0,0,0,1,6,1,1,1,1
203,0,4,8,3,4,2,1,0,0,0,1,6,0,1,1,1
203,0,4,8,3,5,2,1,0,0,0,1,6,4,1,1,1
203,0,4,9,4,5,2,1,0,0,0,1,5,7,1,1,1
204,0,1,2,1,1,1,2,1,0,0,1,6,5,2,0,1
204,0,1,3,1,2,1,2,1,0,0,1,4,3,4,0,1
204,0,2,3,2,2,0,2,1,0,0,1,5,1,2,0,1
204,0,2,3,2,2,0,2,1,0,0,1,3,6,1,0,1
206,0,2,3,1,1,1,2,0,0,0,1,6,1,3,2,1
209,0,1,2,1,1,0,2,0,0,0,0,6,1,1,0,1
209,0,1,3,1,2,0,2,0,0,0,0,5,0,1,0,1
209,1,1,3,1,1,0,2,0,0,0,0,6,0,3,0,1
210,0,5,8,4,2,0,1,0,0,0,0,6,15,1,1,1
210,0,5,8,4,3,0,1,0,0,0,0,7,10,1,1,1
210,0,5,9,4,3,0,1,0,0,0,0,6,12,1,1,1
210,0,5,9,5,3,1,1,0,0,0,0,6,4,3,1,1
212,0,4,8,3,3,0,2,0,0,0,0,6,6,1,1,2
212,0,4,9,3,3,0,2,0,0,0,0,6,1,2,1,2
212,0,4,9,3,4,0,2,0,0,0,0,5,7,1,1,2
212,0,4,9,4,4,0,2,0,0,0,0,5,4,5,1,2
214,0,2,4,2,1,0,2,1,0,0,1,7,0,2,0,1
214,0,2,4,2,1,0,2,1,0,0,1,9,0,0,0,1
214,0,2,4,2,1,0,2,1,0,0,1,6,0,1,0,1
214,0,2,5,2,1,0,2,1,0,0,1,7,0,1,0,1
215,0,5,12,5,2,2,1,0,0,0,0,7,2,2,1,1
215,0,5,12,5,2,1,1,0,0,0,0,6,2,2,1,1
215,0,5,12,5,2,1,1,0,0,0,0,6,1,1,1,1
215,0,5,13,5,2,1,1,0,0,0,0,6,6,2,1,1
220,0,3,7,2,3,2,1,0,0,0,1,6,2,1,1,1
220,0,3,7,3,4,2,1,0,0,0,1,5,0,1,1,1
220,0,3,7,3,4,2,1,0,0,0,1,6,0,1,1,1
220,0,3,8,3,1,2,1,0,0,0,1,7,0,1,1,2
227,0,6,11,1,1,0,1,0,0,0,1,6,0,5,2,1
228,0,6,12,6,4,2,1,0,0,0,1,6,0,1,1,1
228,0,6,12,6,1,1,1,0,0,0,1,6,0,1,1,1
228,0,7,12,7,1,1,1,0,0,0,1,6,0,2,1,1
228,1,7,13,7,1,1,1,0,0,0,1,3,0,3,1,1
229,0,2,6,2,2,1,1,0,0,0,1,7,0,1,0,1
229,0,2,7,2,1,1,1,0,0,0,1,7,2,4,0,1
229,1,2,7,2,1,0,1,0,0,0,1,7,0,0,0,1
230,0,3,5,1,2,3,1,0,0,0,0,7,4,1,2,1
230,0,3,5,2,2,3,1,0,0,0,0,8,2,4,2,1
230,0,3,6,2,2,3,1,0,0,0,0,10,0,1,2,1
230,0,3,6,2,1,3,1,0,0,0,0,8,1,1,2,1
232,0,3,7,3,4,2,1,1,0,0,1,6,1,4,0,1
232,1,3,8,3,4,2,1,1,0,0,1,6,1,1,0,1
233,1,2,3,1,1,0,2,0,7,2,0,8,3,0,2,1
234,1,5,9,4,4,0,1,0,0,0,0,6,0,1,1,2
235,0,3,6,3,2,1,1,1,0,0,1,6,5,1,0,1
235,0,3,6,3,1,2,1,1,0,0,1,5,3,3,0,1
235,0,4,7,4,1,3,1,1,0,0,1,6,1,3,0,1
235,0,4,7,4,1,3,1,1,0,0,1,5,3,1,0,1
241,0,1,3,1,2,1,2,0,0,0,1,5,0,2,1,1
241,0,1,4,1,2,1,2,0,0,0,1,5,1,2,1,1
241,0,2,4,2,2,1,2,0,0,0,1,5,1,1,1,1
241,0,2,4,2,3,1,2,0,0,0,1,6,0,1,1,1
244,0,4,7,4,4,0,1,0,0,0,1,11,2,1,0,1
244,0,4,7,4,4,0,1,0,0,0,1,10,6,1,0,1
245,0,2,4,2,3,1,2,0,0,0,0,6,1,3,0,1
245,0,2,4,2,3,1,2,0,0,0,0,6,3,2,0,1
245,0,2,5,2,3,1,2,0,0,0,0,5,1,3,0,1
245,0,3,5,3,4,1,2,0,0,0,0,7,1,2,0,1
249,0,2,3,2,1,0,2,1,0,0,1,6,2,3,0,1
249,0,2,3,2,1,0,2,1,0,0,1,6,0,2,0,1
249,0,2,4,2,2,0,2,1,0,0,1,6,0,4,0,1
249,0,2,4,2,2,0,2,1,0,0,1,8,0,1,0,1
252,0,2,6,2,1,1,1,1,0,0,1,6,0,6,0,1
252,0,2,6,2,1,1,1,1,0,0,1,6,0,1,0,1
252,0,2,7,2,2,1,1,1,0,0,1,7,1,2,0,1
252,0,3,7,3,2,1,1,1,0,0,1,7,3,3,0,1
259,0,3,7,2,2,0,2,0,0,0,1,7,0,1,1,1
259,0,3,7,3,2,0,2,0,0,0,1,7,0,1,1,1
259,0,3,7,3,1,0,2,0,0,0,1,8,2,0,1,1
260,0,1,3,1,1,1,2,0,0,0,0,6,0,1,1,1
262,0,3,6,2,3,2,1,0,0,0,1,7,0,1,1,1
262,1,3,7,2,3,2,1,0,0,0,1,2,0,0,1,1
266,0,3,8,3,1,2,1,1,0,0,1,6,0,3,0,1
266,0,3,8,3,1,2,1,1,0,0,1,6,1,1,0,1
266,0,4,8,4,2,2,1,1,0,0,1,6,1,1,0,1
266,0,4,9,4,2,2,1,1,0,0,1,5,6,1,0,1
269,0,3,6,1,1,1,2,0,0,0,1,6,0,1,2,1
269,0,3,6,1,1,1,2,0,0,0,1,5,0,1,2,1
269,0,3,6,1,1,1,2,0,0,0,1,7,0,1,2,2
269,0,3,7,2,1,1,2,0,0,0,1,4,0,0,2,2
271,0,4,8,3,2,1,1,0,1,1,0,10,0,1,1,2
271,0,5,8,4,2,2,1,0,0,0,0,8,0,1,1,2
271,0,5,9,4,2,2,1,0,0,0,0,9,1,1,1,2
271,0,5,9,4,3,1,1,0,0,0,0,7,0,1,1,2
272,0,3,6,1,1,0,2,0,0,0,0,8,0,1,1,2
273,0,1,3,1,1,0,2,0,0,0,0,7,0,4,0,1
273,0,1,3,1,2,0,2,0,0,0,0,8,0,2,0,1
273,0,2,3,2,2,0,2,0,0,0,0,10,0,3,0,1
273,0,2,4,2,2,0,2,0,0,0,0,7,0,1,0,1
274,0,3,7,1,1,0,1,0,0,0,1,6,1,1,1,1
274,0,4,7,1,2,0,1,0,0,0,1,5,0,1,1,1
275,1,2,4,2,1,1,2,1,0,0,1,6,0,2,0,1
276,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
279,0,2,7,2,3,0,1,1,0,0,1,6,1,0,0,1
279,0,2,7,2,3,0,1,1,0,0,1,6,2,1,0,1
279,0,3,8,3,4,0,1,1,0,0,1,6,4,1,0,1
279,1,3,8,3,4,0,1,1,0,0,1,7,2,1,0,1
281,0,3,7,3,2,1,1,0,0,0,1,10,1,4,0,1
281,0,3,7,3,2,1,1,0,0,0,1,10,2,2,0,1
281,0,3,8,3,2,1,1,0,0,0,1,10,1,2,0,1
281,0,4,8,4,3,1,1,0,0,0,1,10,1,2,0,1
282,0,5,9,4,1,0,1,0,0,0,1,6,1,1,2,1
282,0,5,9,4,1,0,1,0,0,0,1,6,1,2,2,1
